REF_DATE,GEO,Products and product groups,VALUE
2020-10,Canada,"Toys, games (excluding video games) and hobby supplies",89.2
2020-11,Canada,"Toys, games (excluding video games) and hobby supplies",89.8
2020-07,Canada,Digital computing equipment and devices,16.9
2020-08,Canada,Digital computing equipment and devices,16.7
2020-09,Canada,Digital computing equipment and devices,17.3
2020-10,Canada,Digital computing equipment and devices,17.0
2020-11,Canada,Digital computing equipment and devices,16.4
2020-07,Canada,Photographic equipment and supplies,26.6
2020-08,Canada,Photographic equipment and supplies,26.9
2020-09,Canada,Photographic equipment and supplies,26.5
2020-10,Canada,Photographic equipment and supplies,27.3
2020-11,Canada,Photographic equipment and supplies,26.3
2020-07,Canada,Other recreational equipment,75.9
2020-08,Canada,Other recreational equipment,77.0
2020-09,Canada,Other recreational equipment,77.5
2020-10,Canada,Other recreational equipment,75.3
2020-11,Canada,Other recreational equipment,76.2
2020-07,Canada,Recreational services,129.5
2020-08,Canada,Recreational services,129.2
2020-09,Canada,Recreational services,129.0
2020-10,Canada,Recreational services,129.6
2020-11,Canada,Recreational services,129.9
2020-07,Canada,Purchase of recreational vehicles and outboard motors,119.1
2020-08,Canada,Purchase of recreational vehicles and outboard motors,118.4
2020-09,Canada,Purchase of recreational vehicles and outboard motors,118.4
2020-10,Canada,Purchase of recreational vehicles and outboard motors,118.6
2020-11,Canada,Purchase of recreational vehicles and outboard motors,118.7
2020-07,Canada,"Fuel, parts and accessories for recreational vehicles",153.9
2020-08,Canada,"Fuel, parts and accessories for recreational vehicles",152.9
2020-09,Canada,"Fuel, parts and accessories for recreational vehicles",151.8
2020-10,Canada,"Fuel, parts and accessories for recreational vehicles",150.1
2020-11,Canada,"Fuel, parts and accessories for recreational vehicles",148.0
2020-07,Canada,"Insurance, licences and other services for recreational vehicles",176.3
2020-08,Canada,"Insurance, licences and other services for recreational vehicles",176.7
2020-09,Canada,"Insurance, licences and other services for recreational vehicles",176.1
2020-10,Canada,"Insurance, licences and other services for recreational vehicles",177.7
2020-11,Canada,"Insurance, licences and other services for recreational vehicles",177.8
2020-07,Canada,Audio equipment,45.1
2020-08,Canada,Audio equipment,44.0
2020-09,Canada,Audio equipment,42.0
2020-10,Canada,Audio equipment,43.3
2020-11,Canada,Audio equipment,44.6
2020-07,Canada,Video equipment,21.1
2020-08,Canada,Video equipment,21.1
2020-09,Canada,Video equipment,21.1
2020-10,Canada,Video equipment,21.2
2020-11,Canada,Video equipment,20.9
2020-07,Canada,Purchase of digital media,66.0
2020-08,Canada,Purchase of digital media,66.0
2020-09,Canada,Purchase of digital media,66.0
2020-10,Canada,Purchase of digital media,81.6
2020-11,Canada,Purchase of digital media,81.6
2020-07,Canada,Traveller accommodation,75.8
2020-08,Canada,Traveller accommodation,76.5
2020-09,Canada,Traveller accommodation,74.9
2020-10,Canada,Traveller accommodation,68.5
2020-11,Canada,Traveller accommodation,65.5
2020-07,Canada,Travel tours,112.3
2020-08,Canada,Travel tours,112.0
2020-09,Canada,Travel tours,111.8
2020-10,Canada,Travel tours,112.4
2020-11,Canada,Travel tours,112.5
2020-07,Canada,Spectator entertainment (excluding video and audio subscription services),137.1
2020-08,Canada,Spectator entertainment (excluding video and audio subscription services),137.9
2020-09,Canada,Spectator entertainment (excluding video and audio subscription services),137.8
2020-10,Canada,Spectator entertainment (excluding video and audio subscription services),145.0
2020-11,Canada,Spectator entertainment (excluding video and audio subscription services),145.0
2020-07,Canada,Video and audio subscription services,216.8
2020-08,Canada,Video and audio subscription services,216.8
2020-09,Canada,Video and audio subscription services,216.8
2020-10,Canada,Video and audio subscription services,218.1
2020-11,Canada,Video and audio subscription services,218.1
2020-07,Canada,Use of recreational facilities and services,159.0
2020-08,Canada,Use of recreational facilities and services,159.0
2020-09,Canada,Use of recreational facilities and services,159.0
2020-10,Canada,Use of recreational facilities and services,159.5
2020-11,Canada,Use of recreational facilities and services,159.5
2020-07,Canada,Tuition fees,175.4
2020-08,Canada,Tuition fees,175.4
2020-09,Canada,Tuition fees,178.8
2020-10,Canada,Tuition fees,178.8
2020-11,Canada,Tuition fees,178.8
2020-07,Canada,School textbooks and supplies,147.6
2020-08,Canada,School textbooks and supplies,144.6
2020-09,Canada,School textbooks and supplies,145.9
2020-10,Canada,School textbooks and supplies,150.2
2020-11,Canada,School textbooks and supplies,150.0
2020-07,Canada,"Other lessons, courses and education services",149.8
2020-08,Canada,"Other lessons, courses and education services",149.8
2020-09,Canada,"Other lessons, courses and education services",150.3
2020-10,Canada,"Other lessons, courses and education services",150.3
2020-11,Canada,"Other lessons, courses and education services",150.3
2020-07,Canada,Reading material (excluding textbooks),162.4
2020-08,Canada,Reading material (excluding textbooks),162.4
2020-09,Canada,Reading material (excluding textbooks),159.8
2020-10,Canada,Reading material (excluding textbooks),159.9
2020-11,Canada,Reading material (excluding textbooks),159.9
2020-07,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",172.0
2020-08,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",171.9
2020-09,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",172.2
